,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
0,Jahanpanah,Agra,Agra Cantt,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra","North Indian, Mughlai",425.0,3.9,140,78.01154444,27.16166111
1,Time2Eat - Mama Chicken,Agra,Agra Cantt,"Main Market, Sadar Bazaar, Agra Cantt, Agra",North Indian,250.0,3.6,94,78.01160797,27.16083249
2,Chokho Jeeman Marwari Jain Bhojanalya,Agra,Civil Lines,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Rajasthani,200.0,4.0,87,77.99809167,27.19592778
3,Pinch Of Spice,Agra,Civil Lines,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra","North Indian, Chinese, Mughlai",500.0,4.2,177,78.00755278,27.201725
4,Peshawri - ITC Mughal,Agra,"ITC Mughal, Tajganj","ITC Mughal, Fatehabad Road, Tajganj, Agra","North Indian, Mughlai",1250.0,4.3,133,78.044095,27.160934
5,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Tajganj","ITC Mughal, Fatehabad Road, Tajganj, Agra",Mughlai,1250.0,4.0,41,78.044095,27.160934
6,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Tajganj","Radisson Blu, Taj East Gate Road, Tajganj, Agra","North Indian, Mughlai",1800.0,3.8,46,78.057044,27.163303
7,Dasaprakash Restaurant,Agra,Rakabganj,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra","South Indian, Desserts",275.0,4.1,121,78.01505278,27.16510833
8,The Charcoal Chimney,Agra,Tajganj,"Hotel Samovar, Fatehabad Road, Tajganj, Agra","North Indian, Chinese, Continental, Mughlai",550.0,3.4,70,78.04299,27.159795
9,Pind Balluchi,Agra,Tajganj,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra","North Indian, Mughlai",450.0,3.7,175,78.04725,27.15777222
10,Pizza Hut,Agra,Tajganj,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra","Italian, Pizza",350.0,4.4,134,78.03471389,27.16169444
11,Thaaliwala,Agra,Tajganj,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra","North Indian, Fast Food",350.0,4.1,168,78.045359,27.158822
12,650 - The Global Kitchen,Ahmedabad,Ambavadi,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad","Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",450.0,4.2,1582,72.5375741,23.01045111
13,Patang - The Revolving Restaurant,Ahmedabad,Ashram Road,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad","Continental, Chinese, North Indian",900.0,3.7,1315,72.572009,23.0261651
14,Huber & Holly,Ahmedabad,Bodakdev,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad","Ice Cream, Desserts, Continental",150.0,4.5,217,72.5123947,23.0383109
